model_size,batch_size,context_length,dtype,tool,name,calls,cpu_total_us,cpu_self_us,cuda_total_us,cuda_self_us
medium,1,256,fp32,torch.profiler,ampere_sgemm_128x64_nn,24,0.0,0.0,1373.8879999999335,1373.8879999999335
medium,1,256,fp32,torch.profiler,aten::sqrt,219,2903.728999999934,1794.1859999998705,1233.250999999931,1233.250999999931
medium,1,256,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::sqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",219,0.0,0.0,1233.250999999931,1233.250999999931
medium,1,256,fp32,torch.profiler,attention/value,24,3864.900000000008,1173.211999999995,544.191000000008,0.0
medium,1,256,fp32,torch.profiler,attention/value,24,0.0,0.0,544.191000000008,544.191000000008
medium,1,256,fp32,torch.profiler,backward,1,128552.62500000001,128504.19000000002,0.8959999999933643,0.0
medium,1,256,fp32,torch.profiler,backward,1,0.0,0.0,0.8959999999933643,0.8959999999933643
medium,1,256,fp32,torch.profiler,profile/warmup,1,804.375,804.375,0.0,0.0
medium,1,512,fp32,cuda_event,backward,1,,,134639.5263671875,
medium,1,512,fp32,cuda_event,forward,1,,,64763.10729980469,
medium,1,512,fp32,cuda_event,optimizer,1,,,72231.68182373047,
medium,1,512,fp32,torch.profiler,Optimizer.step#AdamW.step,1,0.0,0.0,72032.60999999999,72032.60999999999
medium,1,512,fp32,torch.profiler,forward,1,0.0,0.0,64439.199,64439.199
medium,1,512,fp32,torch.profiler,profile/measure,1,273938.829,2195.3890000000247,49690.60899999928,0.0
medium,1,512,fp32,torch.profiler,aten::bmm,651,21379.1849999999,14175.1549999999,40808.74599999988,40808.74599999988
medium,1,512,fp32,torch.profiler,optimizer,1,71298.524,81.44800000000396,29983.78999999928,0.0
medium,1,512,fp32,torch.profiler,Optimizer.step#AdamW.step,1,71217.076,19257.72199999905,29983.78999999928,0.0
medium,1,512,fp32,torch.profiler,autograd::engine::evaluate_function: BmmBackward0,217,18973.54500000016,2142.7920000002487,25527.14499999986,0.0
medium,1,512,fp32,torch.profiler,BmmBackward0,217,16830.75299999991,1770.8009999999194,25527.14499999986,0.0
medium,1,512,fp32,torch.profiler,aten::mul,2382,36690.004999999874,22657.575999998513,19714.951999999765,19670.566999999755
medium,1,512,fp32,torch.profiler,forward,1,64662.348999999995,13993.041000000114,19644.51499999999,0.0
medium,1,512,fp32,torch.profiler,aten::einsum,217,22709.45400000002,4522.324000000049,15281.601000000024,0.0
medium,1,512,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",1412,0.0,0.0,14417.440999999322,14417.440999999322
medium,1,512,fp32,torch.profiler,ampere_sgemm_128x64_tn,73,0.0,0.0,9468.452999999976,9468.452999999976
medium,1,512,fp32,torch.profiler,ampere_sgemm_128x64_nn,73,0.0,0.0,9435.945999999909,9435.945999999909
medium,1,512,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",1335,0.0,0.0,9088.037000000222,9088.037000000222
medium,1,512,fp32,torch.profiler,aten::copy_,362,6643.279000000074,3388.954000000048,6263.112000000034,6263.112000000034
medium,1,512,fp32,torch.profiler,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",313,0.0,0.0,6161.444000000072,6161.444000000072
medium,1,512,fp32,torch.profiler,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(cutlass_80_simt_sgemm_128x256_8x4_nt_align1::Params),73,0.0,0.0,5931.458000000042,5931.458000000042
medium,1,512,fp32,torch.profiler,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,219,7333.4369999999035,937.2710000000079,5724.385000000009,0.0
medium,1,512,fp32,torch.profiler,torch::autograd::AccumulateGrad,219,6396.165999999896,1223.748999999836,5724.385000000009,0.0
medium,1,512,fp32,torch.profiler,aten::add,850,12133.503000000323,7589.854000001136,5033.898999999893,5020.810999999904
medium,1,512,fp32,torch.profiler,aten::div,414,6948.102000000236,4508.255000000408,4462.304000000121,4462.304000000121
medium,1,512,fp32,torch.profiler,ampere_sgemm_64x64_tn,96,0.0,0.0,4248.382000000015,4248.382000000015
medium,1,512,fp32,torch.profiler,aten::sub_,438,4751.985000000277,2680.703000000125,4163.916999999958,4163.916999999958
medium,1,512,fp32,torch.profiler,autograd::engine::evaluate_function: MulBackward0,338,16551.150999999838,3724.136000000144,3923.32800000078,0.0
medium,1,512,fp32,torch.profiler,ampere_sgemm_64x64_nn,96,0.0,0.0,3754.3369999997813,3754.3369999997813
medium,1,512,fp32,torch.profiler,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",388,0.0,0.0,3611.1360000000923,3611.1360000000923
